2019-05-03 00:39:00.847 [main] INFO  com.company.Mastermind - system mode = false
2019-05-03 00:39:21.083 [main] WARN  com.company.Mastermind - array clue = +-++
2019-05-03 00:39:21.083 [main] WARN  com.company.Mastermind - number well positioned : 
2019-05-03 00:39:21.083 [main] WARN  com.company.Mastermind - number present : 
2019-05-03 00:39:27.959 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:39:27.959 [main] INFO  com.company.Mastermind - username = Brainy
2019-05-03 00:39:28.819 [main] WARN  com.company.Mastermind - chance = 7
2019-05-03 00:39:28.819 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:39:28.819 [main] INFO  com.company.Mastermind - number case = 4
2019-05-03 00:39:28.819 [main] WARN  com.company.Mastermind - number column 0 = 5 is becoming 6 
2019-05-03 00:39:28.819 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:39:28.819 [main] INFO  com.company.Mastermind - number case = 4
2019-05-03 00:39:28.819 [main] WARN  com.company.Mastermind - number column 1 = 4 is becoming 3 
2019-05-03 00:39:28.819 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:39:28.819 [main] INFO  com.company.Mastermind - number case = 4
2019-05-03 00:39:28.819 [main] WARN  com.company.Mastermind - number column 2 = 3 is becoming 4 
2019-05-03 00:39:28.819 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:39:28.819 [main] INFO  com.company.Mastermind - number case = 4
2019-05-03 00:39:28.819 [main] WARN  com.company.Mastermind - number column 3 = 4 is becoming 5 
2019-05-03 00:39:28.819 [main] WARN  com.company.Mastermind - array clue = +-++
2019-05-03 00:39:28.819 [main] WARN  com.company.Mastermind - number well positioned : 
2019-05-03 00:39:28.819 [main] WARN  com.company.Mastermind - number present : 
2019-05-03 00:39:28.819 [main] INFO  com.company.Mastermind - good seizure previous number = 8654
2019-05-03 00:39:35.724 [main] INFO  com.company.Mastermind - menu choice = 0
2019-05-03 00:39:35.724 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:39:35.724 [main] INFO  com.company.Mastermind - number case = 4
2019-05-03 00:39:35.724 [main] INFO  com.company.Mastermind - chance = 7
2019-05-03 00:39:35.724 [main] INFO  com.company.Mastermind - name = USER
2019-05-03 00:39:35.724 [main] WARN  com.company.Mastermind - previous number = 8654
2019-05-03 00:39:35.724 [main] WARN  com.company.Mastermind - player number = 7566
2019-05-03 00:39:35.724 [main] WARN  com.company.Mastermind - array clue = +-++
2019-05-03 00:39:35.724 [main] WARN  com.company.Mastermind - number well positioned = 0
2019-05-03 00:39:35.724 [main] WARN  com.company.Mastermind - number present = 1
2019-05-03 00:39:35.724 [main] WARN  com.company.Getters - player number -> numeric = true
2019-05-03 00:39:35.724 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:39:35.724 [main] INFO  com.company.Mastermind - username = USER
2019-05-03 00:39:37.059 [main] WARN  com.company.Mastermind - chance = 6
2019-05-03 00:39:37.059 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:39:37.074 [main] INFO  com.company.Mastermind - number case = 4
2019-05-03 00:39:37.074 [main] WARN  com.company.Mastermind - number column 0 = 7 is becoming 8 
2019-05-03 00:39:37.074 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:39:37.074 [main] INFO  com.company.Mastermind - number case = 4
2019-05-03 00:39:37.074 [main] WARN  com.company.Mastermind - number column 1 = 5 is becoming 4 
2019-05-03 00:39:37.074 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:39:37.074 [main] INFO  com.company.Mastermind - number case = 4
2019-05-03 00:39:37.081 [main] WARN  com.company.Mastermind - number column 2 = 6 is becoming 7 
2019-05-03 00:39:37.081 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:39:37.081 [main] INFO  com.company.Mastermind - number case = 4
2019-05-03 00:39:37.081 [main] WARN  com.company.Mastermind - number column 3 = 6 is becoming 7 
2019-05-03 00:39:37.081 [main] WARN  com.company.Mastermind - array clue = +-++
2019-05-03 00:39:37.081 [main] WARN  com.company.Mastermind - number well positioned : 
2019-05-03 00:39:37.081 [main] WARN  com.company.Mastermind - number present : 
2019-05-03 00:39:42.882 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:39:42.882 [main] INFO  com.company.Mastermind - username = Brainy
2019-05-03 00:39:43.601 [main] WARN  com.company.Mastermind - chance = 6
2019-05-03 00:39:43.617 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:39:43.617 [main] INFO  com.company.Mastermind - number case = 4
2019-05-03 00:39:43.617 [main] WARN  com.company.Mastermind - number column 0 = 6 is becoming 7 
2019-05-03 00:39:43.617 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:39:43.617 [main] INFO  com.company.Mastermind - number case = 4
2019-05-03 00:39:43.617 [main] WARN  com.company.Mastermind - number column 1 = 3 is becoming 3 
2019-05-03 00:39:43.617 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:39:43.617 [main] INFO  com.company.Mastermind - number case = 4
2019-05-03 00:39:43.617 [main] WARN  com.company.Mastermind - number column 2 = 4 is becoming 5 
2019-05-03 00:39:43.617 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:39:43.617 [main] INFO  com.company.Mastermind - number case = 4
2019-05-03 00:39:43.617 [main] WARN  com.company.Mastermind - number column 3 = 5 is becoming 6 
2019-05-03 00:39:43.617 [main] WARN  com.company.Mastermind - array clue = +=++
2019-05-03 00:39:43.617 [main] WARN  com.company.Mastermind - number well positioned : 
2019-05-03 00:39:43.617 [main] WARN  com.company.Mastermind - number present : 
2019-05-03 00:39:43.617 [main] INFO  com.company.Mastermind - good seizure previous number = 7566
2019-05-03 00:39:49.177 [main] INFO  com.company.Mastermind - menu choice = 0
2019-05-03 00:39:49.177 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:39:49.177 [main] INFO  com.company.Mastermind - number case = 4
2019-05-03 00:39:49.177 [main] INFO  com.company.Mastermind - chance = 6
2019-05-03 00:39:49.177 [main] INFO  com.company.Mastermind - name = USER
2019-05-03 00:39:49.177 [main] WARN  com.company.Mastermind - previous number = 7566
2019-05-03 00:39:49.177 [main] WARN  com.company.Mastermind - player number = 8477
2019-05-03 00:39:49.177 [main] WARN  com.company.Mastermind - array clue = +-++
2019-05-03 00:39:49.177 [main] WARN  com.company.Mastermind - number well positioned = 0
2019-05-03 00:39:49.177 [main] WARN  com.company.Mastermind - number present = 1
2019-05-03 00:39:49.177 [main] WARN  com.company.Getters - player number -> numeric = true
2019-05-03 00:39:49.177 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:39:49.177 [main] INFO  com.company.Mastermind - username = USER
2019-05-03 00:39:50.224 [main] WARN  com.company.Mastermind - chance = 5
2019-05-03 00:39:50.224 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:39:50.224 [main] INFO  com.company.Mastermind - number case = 4
2019-05-03 00:39:50.224 [main] WARN  com.company.Mastermind - number column 0 = 8 is becoming 9 
2019-05-03 00:39:50.224 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:39:50.224 [main] INFO  com.company.Mastermind - number case = 4
2019-05-03 00:39:50.224 [main] WARN  com.company.Mastermind - number column 1 = 4 is becoming 3 
2019-05-03 00:39:50.224 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:39:50.224 [main] INFO  com.company.Mastermind - number case = 4
2019-05-03 00:39:50.224 [main] WARN  com.company.Mastermind - number column 2 = 7 is becoming 8 
2019-05-03 00:39:50.224 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:39:50.224 [main] INFO  com.company.Mastermind - number case = 4
2019-05-03 00:39:50.224 [main] WARN  com.company.Mastermind - number column 3 = 7 is becoming 7 
2019-05-03 00:39:50.224 [main] WARN  com.company.Mastermind - array clue = +-+=
2019-05-03 00:39:50.224 [main] WARN  com.company.Mastermind - number well positioned : 
2019-05-03 00:39:50.224 [main] WARN  com.company.Mastermind - number present : 
2019-05-03 00:39:58.347 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:39:58.347 [main] INFO  com.company.Mastermind - username = Brainy
2019-05-03 00:39:58.878 [main] WARN  com.company.Mastermind - chance = 5
2019-05-03 00:39:58.878 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:39:58.878 [main] INFO  com.company.Mastermind - number case = 4
2019-05-03 00:39:58.878 [main] WARN  com.company.Mastermind - number column 0 = 7 is becoming 8 
2019-05-03 00:39:58.878 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:39:58.878 [main] INFO  com.company.Mastermind - number case = 4
2019-05-03 00:39:58.878 [main] WARN  com.company.Mastermind - number column 1 = 3 is becoming 3 
2019-05-03 00:39:58.878 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:39:58.894 [main] INFO  com.company.Mastermind - number case = 4
2019-05-03 00:39:58.894 [main] WARN  com.company.Mastermind - number column 2 = 5 is becoming 6 
2019-05-03 00:39:58.894 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:39:58.894 [main] INFO  com.company.Mastermind - number case = 4
2019-05-03 00:39:58.894 [main] WARN  com.company.Mastermind - number column 3 = 6 is becoming 7 
2019-05-03 00:39:58.894 [main] WARN  com.company.Mastermind - array clue = +=++
2019-05-03 00:39:58.894 [main] WARN  com.company.Mastermind - number well positioned : 
2019-05-03 00:39:58.894 [main] WARN  com.company.Mastermind - number present : 
2019-05-03 00:39:58.894 [main] INFO  com.company.Mastermind - good seizure previous number = 8477
2019-05-03 00:40:14.045 [main] INFO  com.company.Mastermind - menu choice = 0
2019-05-03 00:40:14.045 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:40:14.045 [main] INFO  com.company.Mastermind - number case = 4
2019-05-03 00:40:14.045 [main] INFO  com.company.Mastermind - chance = 5
2019-05-03 00:40:14.045 [main] INFO  com.company.Mastermind - name = USER
2019-05-03 00:40:14.045 [main] WARN  com.company.Mastermind - previous number = 8477
2019-05-03 00:40:14.045 [main] WARN  com.company.Mastermind - player number = 9387
2019-05-03 00:40:14.045 [main] WARN  com.company.Mastermind - array clue = +-+=
2019-05-03 00:40:14.045 [main] WARN  com.company.Mastermind - number well positioned = 1
2019-05-03 00:40:14.045 [main] WARN  com.company.Mastermind - number present = 3
2019-05-03 00:40:14.045 [main] WARN  com.company.Getters - player number -> numeric = true
2019-05-03 00:40:14.045 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:40:14.045 [main] INFO  com.company.Mastermind - username = USER
2019-05-03 00:40:22.924 [main] WARN  com.company.Mastermind - chance = -1
2019-05-03 00:40:22.924 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:40:22.924 [main] INFO  com.company.Mastermind - number case = 4
2019-05-03 00:40:22.924 [main] WARN  com.company.Mastermind - number column 0 = 9 is becoming 9 
2019-05-03 00:40:22.924 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:40:22.924 [main] INFO  com.company.Mastermind - number case = 4
2019-05-03 00:40:22.924 [main] WARN  com.company.Mastermind - number column 1 = 3 is becoming 3 
2019-05-03 00:40:22.939 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:40:22.939 [main] INFO  com.company.Mastermind - number case = 4
2019-05-03 00:40:22.939 [main] WARN  com.company.Mastermind - number column 2 = 8 is becoming 8 
2019-05-03 00:40:22.939 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:40:22.939 [main] INFO  com.company.Mastermind - number case = 4
2019-05-03 00:40:22.939 [main] WARN  com.company.Mastermind - number column 3 = 7 is becoming 7 
2019-05-03 00:40:22.939 [main] WARN  com.company.Mastermind - array clue = ====
2019-05-03 00:40:22.939 [main] WARN  com.company.Mastermind - number well positioned : 
2019-05-03 00:40:22.939 [main] WARN  com.company.Mastermind - number present : 
2019-05-03 00:40:49.027 [main] WARN  com.company.Main - replay = 1
2019-05-03 00:40:50.668 [main] WARN  com.company.Main - main menu = 1
